"year","pdsi_early_growing_season","pdsi_late_growing_season","pdsi_full_season"
1989,-2.435,-1.78,-2.107
1990,-1.81,0.408,-0.701
1991,-1.25,1.68,0.215
1992,5.293,5.947,5.62
1993,2.55,0.788,1.669
1994,-1.73,-1.282,-1.506
1995,-0.792,-1.648,-1.22
1996,-2.455,2.095,-0.18
1997,1.26,1.832,1.546
1998,2.268,0.2,1.234
1999,-2.455,0.865,-0.795
2000,-2.082,-1.795,-1.939
2001,3.228,1.442,2.335
2002,-2.652,-2.075,-2.364
2003,-1.865,-4.225,-3.045
2004,-2.148,-1.68,-1.914
2005,2.625,-0.795,0.915
2006,-3.788,3.625,-0.081
2007,2.05,-0.752,0.649
2008,-2.055,-0.838,-1.446
2009,-3.042,-1.552,-2.297
2010,1.905,-0.405,0.75
2011,-4.53,-5.285,-4.907
2012,-2.782,-3.65,-3.216
2013,-4.605,2.292,-1.156
2014,-2.908,0.902,-1.002
2015,0.325,-0.02,0.152
2016,-1.335,-2.34,-1.837
2017,-0.792,-1.265,-1.029
2018,-4.093,-2.8,-3.446
2019,-1.597,-2.98,-2.289
2020,-0.075,-1.425,-0.75
2021,-3.22,-2.082,-2.651
2022,-2.678,1.857,-0.41
2023,1.03,-2.837,-0.904
2024,-1.615,-1.8,-1.708
2025,-3.97,-3.41,-3.69
